ZIP Code,Cases,Deaths
94102,5956,55
94103,6057,31
94104,,
94105,1813,
94107,4617,11
94108,1424,20
94109,7499,69
94110,11915,74
94111,525,
94112,14499,110
94114,3753,14
94115,4842,75
94116,4471,44
94117,4818,23
94118,4174,29
94121,4309,21
94122,5640,40
94123,3245,
94124,10020,69
94127,2145,
94129,409,0
94130,420,
94131,3089,20
94132,3295,16
94133,3015,39
94134,7955,57
94158,1437,
