ZIP Code,Cases,Deaths
28114,630,5
28105,2987,58
28104,2156,9
28091,143,1
28090,619,10
28078,4552,42
28077,37,
28075,1329,12
28040,617,7
28036,1211,12
28031,2219,21
28027,5354,57
27986,149,2
27981,105,
27970,199,6
27962,482,13
27959,151,1
27957,94,3
27954,393,1
27953,65,
27946,64,
27944,678,3
27938,104,7
27928,113,3
27925,263,6
27924,226,3
27922,62,4
27919,61,1
27916,38,
27909,2608,74
27891,340,7
27883,264,3
27876,94,1
27875,37,1
27874,304,9
27872,24,
27871,334,5
27863,827,15
27860,150,1
27857,104,4
27855,381,4
27853,29,
27852,175,2
27851,415,3
27849,89,2
27845,171,2
27844,226,3
27831,248,2
27830,278,6
27828,651,6
27826,72,2
27823,572,8
27818,92,1
27817,537,4
27816,193,2
27814,92,2
27813,46,
27812,215,1
27810,277,2
27809,379,4
27808,160,2
27805,205,2
27803,1467,18
27801,1362,17
27712,1127,27
27707,2742,15
27705,2760,58
27703,4270,19
27701,1646,11
27617,1055,2
27615,2490,38
27614,1977,16
27612,2204,22
27609,2444,19
27608,723,1
27607,1590,9
27606,2521,8
27604,3439,37
27603,3581,11
27601,729,5
27596,1201,3
27592,983,3
27589,546,4
27587,5000,41
27583,461,4
27581,221,
27574,837,7
27573,834,38
27571,532,
27563,303,5
27562,154,
27557,584,3
27556,17,
27549,1736,31
27546,1623,51
27544,287,1
27542,690,11
27541,227,1
27534,2278,56
27530,2614,56
27529,3664,43
27527,1868,5
27526,2732,28
27525,1092,2
27522,872,3
27521,534,7
27508,142,
27507,116,2
27505,456,6
27501,1329,11
27455,1818,31
27410,3029,22
27409,1067,9
27408,956,3
27407,3243,36
27406,3953,72
27405,3480,31
27401,1344,12
27377,654,3
27376,637,11
27358,807,3
27355,177,
27350,441,5
27349,371,5
27341,370,
27332,2221,21
27326,236,2
27320,2528,17
27313,398,18
27311,216,
27310,480,2
27302,1934,5
27298,615,8
27292,3003,23
27291,101,
27288,1559,12
27284,3964,49
27283,179,1
27282,1071,13
27281,220,
27265,3185,41
27263,1665,30
27262,1593,31
27260,1674,31
27258,533,7
27249,849,6
27248,289,5
27242,135,1
27239,658,7
27235,325,3
27233,213,2
27214,778,4
27208,120,
27207,227,2
27106,3311,29
27104,1996,26
27103,2414,26
27101,1413,31
27052,726,14
27051,556,5
27050,243,2
27048,570,3
27047,94,
27046,127,1
27043,424,5
27041,555,6
27040,808,4
27028,2050,16
27023,796,3
27021,1314,33
27019,254,1
27018,579,4
27016,115,2
27014,59,1
27013,440,5
27006,913,3
28909,34,
28905,174,1
28902,75,
28805,774,18
28804,1068,19
28803,1618,49
28801,671,13
28789,296,1
28786,1091,26
28785,326,1
28783,90,3
28781,34,
28774,65,1
28772,87,
28768,369,1
28763,132,2
28753,610,10
28748,594,9
28747,73,1
28743,98,1
28739,1063,18
28730,382,2
28712,934,13
28711,653,24
28709,102,1
28708,38,
28705,348,1
28701,223,1
28692,214,1
28684,71,1
28679,79,1
28663,25,
28644,70,
28627,56,
28626,93,1
28618,112,1
28615,85,
28571,83,1
28556,39,1
28543,219,2
28539,862,8
28532,1089,7
28528,19,
28524,21,
28520,14,
28516,575,3
28512,165,3
28511,23,
28510,69,
28468,238,3
28465,276,3
28462,599,11
28461,672,5
28451,1916,14
28449,60,
28448,51,1
28422,340,7
28421,95,3
28390,1093,7
28307,733,
27979,55,
27978,11,
27976,167,1
27974,50,
27973,66,
27968,12,
27966,41,
27965,19,
27958,491,6
27956,12,
27949,302,2
27948,551,
27947,31,1
27943,14,
27942,46,
27941,30,
27939,120,1
27937,183,1
27935,81,3
27929,79,
27927,24,
27926,65,1
27923,27,
27921,232,4
27920,58,
27915,26,
27897,108,1
27862,37,1
27850,330,4
27847,49,
27842,55,
27839,177,2
27824,76,
27821,11,
27820,153,2
27806,110,2
27713,2573,20
27613,2218,11
27572,326,3
27560,1334,8
27559,110,
27551,89,2
27540,1855,3
27539,1081,6
27523,505,
27519,1943,6
27518,834,2
27517,998,11
27516,1705,14
27514,1310,21
27513,1767,6
27511,1560,8
27510,666,6
27502,1740,5
27403,1049,12
27343,84,
27315,98,
