RptDt,GEOID,GEOName,POS_CUM_CP,POS_NEW_CP,POS_7DAYAVG_CP,DTH_CUM_CP,DTH_NEW_CP,DTH_7DAYAVG_CP,DTH_OVER_30DAYS_CP,DTH_CP_Daily,TESTS_POS_CONF,TESTS_POS_CONF_NEW,TESTS_POS_CONF_7DAYAVG,PercentNAATPos,NEG_7DAYAVG,TESTS_CUM,TESTS_NEW,TESTS_7DAYAVG,POS_CUM_CONF,POS_NEW_CONF,POS_7DAYAVG_CONF,POS_CUM_PROB,POS_NEW_PROB,POS_7DAYAVG_PROB,DTH_CUM_CONF,DTH_NEW_CONF,DTH_7DAYAVG_CONF,DTH_CONF_Daily,DTH_CUM_PROB,DTH_NEW_PROB,DTH_7DAYAVG_PROB,DTH_PROB_Daily,POS_MALE_CP,POS_FEM_CP,POS_OTH_CP,POS_0_9_CP,POS_10_19_CP,POS_20_29_CP,POS_30_39_CP,POS_40_49_CP,POS_50_59_CP,POS_60_69_CP,POS_70_79_CP,POS_80_89_CP,POS_90_CP,DTHS_FEM_CP,DTHS_MALE_CP,DTHS_OTH_CP,DTHS_0_9_CP,DTHS_10_19_CP,DTHS_20_29_CP,DTHS_30_39_CP,DTHS_40_49_CP,DTHS_50_59_CP,DTHS_60_69_CP,DTHS_70_79_CP,DTHS_80_89_CP,DTHS_90_CP,POS_AIAN_CP,POS_ASN_CP,POS_BLK_CP,POS_WHT_CP,POS_MLTOTH_CP,POS_UNK_CP,POS_E_HSP_CP,POS_E_NHSP_CP,POS_E_UNK_CP,DTH_AIAN_CP,DTH_ASN_CP,DTH_BLK_CP,DTH_WHT_CP,DTH_MLTOTH_CP,DTH_UNK_CP,DTH_E_HSP_CP,DTH_E_NHSP_CP,DTH_E_UNK_CP,POS_HC_Y_CP,POS_HC_N_CP,POS_HC_UNK_CP,HOSP_YES_CP,HOSP_NO_CP,HOSP_UNK_CP,Date,POP,POP_MOE,OBJECTID,GEO,ShapeSTArea,ShapeSTLength
2022/04/19 19:00:00+00,53588,53588,713,0,0.14,5,0,0,0,0,,,,,0.86,16479,1,5.29,680,0,0.14,33,0,0,5,0,0,0,0,0,0,0,339,374,0,46,115,70,92,90,127,87,40,32,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,674,22,9,19,644,50,-999,-999,-999,5,-999,-999,-999,5,-999,31,340,342,18,350,345,2022/04/18 06:00:00+00,3998,192,447,ZCTA,687717391.464844,201429.705254081
2022/04/19 19:00:00+00,53589,53589,4693,2,6,28,0,0,0,0,,,,,13.57,67537,8,67.57,4583,1,5.71,110,1,0.29,28,0,0,0,0,0,0,0,2260,2421,12,533,691,667,830,621,617,403,188,103,40,17,11,-999,-999,-999,-999,-999,-999,-999,-999,8,9,-999,19,73,128,4130,295,48,230,4119,344,-999,-999,-999,26,-999,-999,-999,28,-999,120,1426,3147,121,1765,2807,2022/04/18 06:00:00+00,20176,470,448,ZCTA,436784220.496094,131918.700143641
2022/04/19 19:00:00+00,53818,53818,3647,3,2.29,15,0,0,0,0,,,,,4.57,31225,9,15.71,2947,2,1.14,700,1,1.14,13,0,0,0,2,0,0,0,1783,1857,7,254,662,1326,405,287,280,222,106,67,36,8,7,-999,-999,-999,-999,-999,-999,-999,-999,5,-999,5,8,44,98,3226,100,171,136,3172,339,-999,-999,-999,15,-999,-999,-999,15,-999,118,1619,1910,117,1710,1820,2022/04/18 06:00:00+00,16179,337,449,ZCTA,737531713.074219,170266.444595573
2022/04/19 19:00:00+00,53820,53820,573,0,0.29,1,0,0,0,0,,,,,0.86,3635,1,1.14,494,0,0,79,0,0.29,1,0,0,0,0,0,0,0,263,309,1,29,65,79,85,77,105,80,37,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,503,15,52,17,454,102,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,248,291,35,251,287,2022/04/18 06:00:00+00,2235,129,450,ZCTA,501547993.761719,166537.79781542
2022/04/19 19:00:00+00,53821,53821,2381,0,0,21,0,0,0,0,,,,,8.86,20057,0,20.57,2307,0,0,74,0,0,21,0,0,0,0,0,0,0,1416,964,1,103,241,370,433,408,366,249,119,70,22,9,12,-999,-999,-999,-999,-999,-999,-999,-999,6,-999,6,22,15,228,2029,68,19,83,2039,259,-999,-999,-999,18,-999,-999,-999,21,-999,123,948,1310,103,856,1422,2022/04/18 06:00:00+00,8058,160,451,ZCTA,531968565.242188,174669.04571346
2022/04/19 19:00:00+00,53825,53825,82,0,0,0,0,0,0,0,,,,,0.14,728,1,0.86,77,0,0,5,0,0,0,0,0,0,0,0,0,0,39,43,0,6,13,14,10,18,13,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,79,-999,-999,-999,72,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,5,42,35,3,34,45,2022/04/18 06:00:00+00,571,161,452,ZCTA,149057000.308594,77341.0689024233
2022/04/19 19:00:00+00,53826,53826,290,0,0.14,0,0,0,0,0,,,,,0.29,2500,0,0.86,269,0,0,21,0,0.14,0,0,0,0,0,0,0,0,129,161,0,18,41,55,40,47,45,30,12,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,277,5,-999,-999,268,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,137,119,7,155,128,2022/04/18 06:00:00+00,1308,132,453,ZCTA,352592052.285156,139182.086101212
2022/04/19 19:00:00+00,53827,53827,53,0,0,1,0,0,0,0,,,,,0,501,0,0,51,0,0,2,0,0,1,0,0,0,0,0,0,0,29,24,0,-999,12,6,6,6,6,9,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,-999,-999,-999,45,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,28,5,25,23,2022/04/18 06:00:00+00,261,86,454,ZCTA,168654440.101562,94783.583607254
2022/04/19 19:00:00+00,53901,53901,3986,1,0.86,29,0,0,0,0,,,,,6.86,45691,3,28.57,3618,1,0.86,368,0,0,24,0,0,0,5,0,0,0,2092,1885,9,339,521,686,697,579,538,320,159,96,48,13,16,-999,-999,-999,-999,-999,-999,-999,7,5,5,7,53,39,317,3334,173,70,276,2780,930,-999,-999,-999,27,-999,-999,-999,23,6,108,1333,2545,150,2105,1731,2022/04/18 06:00:00+00,14751,266,455,ZCTA,746015526.402344,191103.710148212
2022/04/19 19:00:00+00,53956,53956,929,0,0.14,16,0,0,0,0,,,,,0.71,8617,0,8.29,767,0,0.14,162,0,0,12,0,0,0,4,0,0,0,445,481,3,56,130,114,131,133,147,106,56,30,24,10,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,7,5,-999,8,-999,820,47,51,41,767,121,-999,-999,-999,15,-999,-999,-999,15,-999,43,392,494,50,580,299,2022/04/18 06:00:00+00,3228,292,456,ZCTA,391425631.796875,152459.869209866
