Zipcode,Case Counts,Death Counts,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts(Per 1000),Case Counts(Per 1000)
11357,10253,200,40118,46.8,19.39,57.1,23.51,48.16,51.84,55.91,0.45,0,24.66,0.02,1.21,17.34,39414.0,82858.0,5.89,39.73,59.82,10.54,23.38,0,1.33,0.42,4.56,14437.0,2.76,58.93,41.07,15633.0,92.35,7.65,72.51,27.49,794200.0,6.78,93.22,17.47,24.26,22.47,22.65,13.15,35.59,28.56,54.28,0.62,0,16.17,0.36,4.985293384515679,255.57106535719626
11358,8579,116,36665,42.6,18.98,62.68,18.34,48.65,51.35,30.96,0.85,0.38,47.09,0,2.36,17.93,33915.0,70777.0,9.24,43.25,42.88,10.07,37.46,0.15,4.39,0.43,4.27,12923.0,2.83,56.27,43.73,13710.0,94.26,5.74,57.73,42.27,840800.0,4.84,95.16,17.02,24.09,26.15,19.12,13.63,49.24,12.05,70.44,1.16,0.16,16.06,0.12,3.163780171825992,233.98336288013093
11360,3983,84,18892,50.9,15.18,56.65,28.17,45.82,54.18,54.71,0.87,0.08,32.42,0,0.88,10.95,49653.0,84356.0,5.39,44.46,54.89,12.97,23.45,0.11,1.07,0.1,7.04,8293.0,2.27,51.92,48.08,9423.0,88.01,11.99,73.4,26.6,590300.0,7.37,92.63,10.07,20.01,21.37,25.08,23.48,32.66,19.06,61.72,2.35,0.18,16.69,0,4.446326487402075,210.82998094431505
11361,6127,131,28531,45.7,17.49,61.65,20.87,47.43,52.57,40.07,4.56,0.27,42.01,0,0.61,12.06,41863.0,86545.0,8.51,41.47,44.85,12.78,31.6,0,5.31,0.41,4.85,10659.0,2.64,56.03,43.97,11619.0,91.74,8.26,61.82,38.18,744800.0,8.61,91.39,13.79,20.7,23.16,24.45,17.9,39.36,11.98,74.81,0.37,0.06,12.02,0.77,4.591496968210017,214.74886965055555
11362,3693,88,18694,48.5,18.05,57.33,24.62,45.89,54.11,38.5,2.19,0,45.97,0,2.84,10.18,42696.0,92212.0,6.21,42.84,53.67,9.55,22.05,0.49,2.0,0.31,11.48,7153.0,2.58,55.52,44.48,7601.0,94.11,5.89,78.72,21.28,399000.0,8.35,91.65,10.13,20.78,21.48,26.77,20.83,38.79,12.84,75.02,0.51,0,11.12,0.51,4.707392746335723,197.55001604792983
11363,1343,14,6834,48.6,18.57,57.62,23.81,46.08,53.92,49.15,1.76,0,34.06,0,2.27,12.58,57662.0,111094.0,8.03,45.73,42.94,11.55,36.27,0.09,2.52,0.18,6.01,2779.0,2.46,57.05,42.95,2802.0,99.18,0.82,76.03,23.97,807300.0,5.16,94.84,8.88,12.81,18.86,32.65,26.8,34.36,12.73,61.37,0.38,0,25.17,0.34,2.048580626280363,196.51741293532336
11364,7063,84,35866,44.8,19.94,60.12,19.94,49.25,50.75,30.78,2.4,0.71,48.18,0,2.02,15.86,38632.0,87135.0,6.2,46.64,49.68,8.66,33.51,0.14,2.45,0.05,4.87,13141.0,2.72,57.01,42.99,13960.0,94.13,5.87,70.46,29.54,619600.0,7.04,92.96,11.58,22.29,21.6,27.36,17.17,42.26,6.22,78.57,1.48,0,13.28,0.45,2.3420509674901018,196.92745218312606
11365,10217,170,43730,41.7,19.67,62.87,17.47,46.77,53.23,23.27,8.22,0,45.57,0.03,2.13,19.94,32424.0,70102.0,10.99,46.26,42.23,13.73,33.73,0.3,3.27,0.84,4.14,15702.0,2.78,55.57,44.43,16274.0,96.49,3.51,45.71,54.29,763000.0,8.65,91.35,13.83,25.25,23.1,23.88,13.93,47.44,6.9,70.01,1.01,0.02,21.83,0.23,3.8874914246512695,233.63823462154127
11366,3323,64,14109,41.0,19.15,63.07,17.78,49.08,50.92,34.62,5.17,0,46.87,0,2.11,11.16,36531.0,91795.0,11.43,44.99,38.59,8.32,38.7,0.28,3.42,0.07,9.99,4514.0,3.08,56.17,43.83,4873.0,92.63,7.37,70.27,29.73,808500.0,6.98,93.02,13.81,20.58,20.66,25.99,18.95,48.45,8.78,73.08,3.31,0,14.31,0.53,4.536111701750656,235.52342476433483
11367,10717,148,40141,35.9,24.49,57.61,17.89,47.38,52.62,44.61,6.04,0.34,27.67,0,3.08,18.11,30334.0,64332.0,14.26,43.0,39.29,8.31,37.29,0.25,7.76,0.14,5.77,13930.0,2.81,52.87,47.13,15223.0,91.51,8.49,46.04,53.96,544400.0,8.73,91.27,13.39,26.18,18.43,23.96,18.04,40.26,13.27,63.35,1.95,0,20.93,0.5,3.6870033133205453,266.98388181659647
