Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000),area,population_density
60633,12720,38.5,21.89,62.81,15.29,49.9,50.1,30.01,25.69,0.0,0.0,0.0,0.24,44.06,25624.0,52193.0,16.01,35.02,72.68,11.88,8.96,0.0,0.89,0.91,4.67,4862.0,2.56,41.74,58.26,5514.0,88.18,11.82,69.31,30.69,139500.0,9.45,90.55,17.45,33.16,35.18,8.47,5.74,13.08,6.67,10.1,0.36,0.0,82.87,0.0,23,1.81,2506,197.01,10,1272.0
60612,32240,34.1,20.97,68.34,10.69,46.57,53.43,23.68,53.84,0.03,4.71,0.0,2.93,14.73,33583.0,44538.0,29.95,32.09,43.96,4.81,31.24,3.06,5.94,0.08,8.59,13200.0,2.26,26.09,73.91,15536.0,84.96,15.04,28.56,71.44,294400.0,17.98,82.02,13.14,21.19,28.36,22.16,15.15,10.59,27.86,29.7,6.56,0.79,32.45,2.64,104,3.23,7528,233.5,4,8060.0
60604,729,32.3,0.69,90.4,8.92,39.51,60.49,69.55,9.88,0.0,17.42,0.0,0.0,3.16,81253.0,58558.0,28.67,25.51,23.57,3.52,21.81,0.0,37.0,3.96,10.13,437.0,1.67,46.36,53.64,515.0,84.85,15.15,26.77,73.23,485900.0,30.32,69.68,0.0,0.0,8.54,23.37,68.09,20.99,9.8,49.67,0.0,0.0,5.23,35.29,2,2.74,334,458.16,1,729.0
60624,35054,33.5,26.63,61.37,11.99,47.86,52.14,3.35,87.25,0.05,0.14,0.09,1.43,7.39,15133.0,25648.0,39.83,35.81,50.55,9.29,31.45,0.79,1.61,0.31,5.19,12494.0,2.73,23.02,76.98,15808.0,79.04,20.96,26.62,73.38,188100.0,13.39,86.61,25.5,32.54,30.85,6.66,4.45,1.57,3.99,6.35,0.0,0.0,89.66,0.0,100,2.85,7069,201.66,4,8763.5
60656,28982,39.3,18.79,63.16,18.06,51.4,48.6,72.14,3.28,0.0,9.65,0.07,2.27,12.38,38960.0,68931.0,8.69,31.74,70.36,9.45,13.24,0.07,1.53,0.22,4.35,12523.0,2.31,54.27,45.73,13046.0,95.99,4.01,59.98,40.02,304500.0,13.63,86.37,7.53,24.3,28.01,27.45,12.72,36.28,57.32,27.61,8.94,0.0,5.88,0.26,68,2.35,6278,216.62,3,9660.7
60644,45919,36.5,25.69,59.1,15.21,47.3,52.7,4.01,84.44,0.0,0.32,0.08,1.78,9.33,17691.0,28033.0,31.89,37.45,51.69,6.93,34.1,0.59,2.32,0.04,3.0,17309.0,2.6,25.98,74.02,19915.0,86.91,13.09,30.05,69.95,188200.0,18.87,81.13,17.84,37.84,32.99,7.19,4.13,4.76,2.75,9.61,3.75,0.0,83.89,0.0,194,4.22,9374,204.14,4,11479.8
60655,27771,39.8,24.77,61.38,13.85,48.52,51.48,80.75,5.71,0.07,1.35,0.0,2.65,9.14,43820.0,99264.0,4.07,33.69,77.62,6.21,7.55,0.21,1.61,0.32,6.03,10386.0,2.6,53.94,46.06,11017.0,94.27,5.73,84.29,15.71,262100.0,6.13,93.87,3.8,19.57,30.63,25.78,20.22,3.64,55.43,15.32,0.0,0.0,27.17,2.08,48,1.73,6855,246.84,4,6942.8
60603,1186,33.3,1.26,82.04,16.69,52.78,47.22,58.35,2.45,0.0,33.47,0.0,0.51,5.23,122475.0,140125.0,11.31,20.45,16.95,0.0,15.25,0.0,46.19,0.0,21.61,644.0,1.52,42.54,57.46,840.0,76.67,23.33,70.65,29.35,499400.0,31.11,68.89,0.0,0.0,4.76,44.39,50.85,29.34,28.74,64.94,0.0,0.0,4.31,2.01,1,0.84,260,219.22,1,1186.0
60605,30950,34.1,8.43,81.38,10.19,47.24,52.76,57.2,13.8,0.12,18.25,0.0,3.19,7.21,81850.0,109194.0,6.49,28.17,31.37,4.8,27.43,2.33,16.29,0.23,14.64,16266.0,1.72,41.41,58.59,17607.0,92.38,7.62,52.58,47.42,404400.0,27.76,72.24,4.54,3.85,13.24,34.01,44.36,20.01,14.53,61.84,5.33,0.24,11.88,6.17,12,0.39,4865,157.19,1,30950.0
60653,33574,35.1,25.9,59.27,14.83,43.23,56.77,6.25,85.53,0.24,1.39,0.0,2.28,4.12,30773.0,34621.0,29.97,32.72,46.98,6.08,28.79,1.27,3.22,0.18,11.04,15934.0,2.08,27.12,72.88,17535.0,90.87,9.13,27.82,72.18,298700.0,15.23,84.77,11.14,21.09,31.61,20.48,15.68,4.67,8.29,19.01,39.29,0.57,30.68,2.17,98,2.92,6238,185.8,2,16787.0
