Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Case Counts,Death Counts,Death Counts(Per 1000),Case Counts(Per 1000)
10016,52912,32.4,8.91,76.31,14.77,48.29,51.71,62.2,2.77,0.07,18.18,0,3.37,12.67,103622.0,124647.0,7.64,24.65,3.22,1.42,34.77,1.95,43.74,0.74,11.49,29005.0,1.77,32.56,67.44,35125.0,82.58,17.42,26.49,73.51,871400.0,20.96,79.04,4.18,5.2,10.41,41.71,38.49,26.26,28.1,47.25,2.44,2.2,17.58,2.43,13967.0,94.0,1.7765346235258541,263.96658602963413
10017,16065,40.9,7.32,70.46,22.22,45.04,54.96,69.0,2.72,0,20.17,0,3.14,4.27,114820.0,130417.0,7.09,28.09,6.94,1.34,35.87,0.48,41.61,0.7,11.58,9858.0,1.61,39.63,60.37,12880.0,76.54,23.46,36.08,63.92,752800.0,17.31,82.69,4.59,3.0,7.18,40.48,44.74,34.37,29.83,45.15,5.04,0.72,10.05,9.2,4291.0,43.0,2.6766262060379704,267.1023965141612
10018,8135,33.4,5.81,84.04,10.14,52.85,47.15,49.43,3.72,0,29.28,0,2.34,14.64,102739.0,136360.0,11.74,26.41,2.39,1.19,44.15,1.98,38.02,0.59,9.58,4321.0,1.86,37.2,62.8,5154.0,83.84,16.16,13.1,86.9,680200.0,25.11,74.89,7.45,6.62,10.14,38.79,37.0,45.11,24.77,44.28,2.75,1.8,19.81,6.59,3714.0,13.0,1.5980331899200984,456.5457897971727
10019,45521,39.5,6.72,76.04,17.24,53.56,46.44,56.44,4.04,0.08,18.57,0.08,2.74,17.6,109919.0,101651.0,11.88,26.31,4.27,0.92,39.4,2.49,34.34,0.45,13.47,27340.0,1.65,35.61,64.39,33471.0,81.68,18.32,22.79,77.21,947500.0,21.58,78.42,3.63,9.41,13.29,37.05,36.62,32.25,22.9,39.82,4.54,1.4,26.31,5.03,12718.0,101.0,2.218756178467081,279.38753542321126
10021,42253,42.4,15.46,59.93,24.61,44.7,55.3,80.88,0.25,0.88,11.11,0.2,1.47,5.12,122940.0,130968.0,5.25,29.63,6.92,2.71,46.99,1.09,24.08,0.09,12.11,22084.0,1.89,55.13,44.87,29204.0,75.62,24.38,45.97,54.03,1492900.0,18.16,81.84,1.84,6.03,11.58,35.84,44.71,18.14,28.17,47.1,2.77,1.45,16.34,4.18,8217.0,117.0,2.769034151421201,194.47139848058126
10022,31574,48.1,9.9,61.87,28.22,46.82,53.18,76.0,1.14,0.15,10.82,0,2.09,9.72,148503.0,138661.0,5.08,26.38,5.48,2.09,31.56,1.3,37.93,0.08,15.75,17977.0,1.72,49.62,50.38,23942.0,75.09,24.91,48.82,51.18,999100.0,15.55,84.45,2.38,5.37,9.15,36.8,46.29,20.03,31.34,42.7,1.72,1.87,19.13,3.24,6532.0,72.0,2.280357255970102,206.87907772217648
10023,62228,42.9,13.79,63.51,22.7,43.96,56.04,72.58,4.3,0.06,11.21,0,2.74,8.49,124872.0,137347.0,6.61,30.08,6.06,1.89,50.64,3.54,17.61,0.62,15.22,33770.0,1.79,46.1,53.9,41828.0,80.74,19.26,39.51,60.49,1450300.0,13.62,86.38,1.91,5.08,10.0,35.63,47.38,24.89,35.02,38.02,6.44,2.69,13.72,4.12,12850.0,125.0,2.0087420453815,206.49868226521824
10024,60714,41.2,17.1,62.54,20.36,43.09,56.91,78.03,2.46,0,6.76,0,1.86,10.8,128591.0,137126.0,8.0,31.38,4.94,1.68,59.2,2.56,8.15,0.09,17.73,28850.0,2.07,52.82,47.18,34929.0,82.6,17.4,37.44,62.56,1743700.0,17.38,82.62,4.11,5.4,7.94,35.77,46.79,18.85,42.1,20.69,3.22,4.5,24.88,4.6,11302.0,137.0,2.2564812069703857,186.1514642421847
10025,92162,40.6,13.76,65.86,20.37,45.91,54.09,54.48,8.44,0.06,9.97,0.01,2.84,23.73,79978.0,99067.0,14.94,33.69,4.45,2.01,59.58,2.26,12.18,0.47,16.96,40188.0,2.16,40.96,59.04,47372.0,84.83,15.17,31.18,68.82,1055900.0,15.66,84.34,10.0,9.48,12.71,29.53,38.28,25.15,19.78,30.42,3.92,1.96,40.32,3.61,20004.0,402.0,4.361884507714676,217.05258132419002
10026,38937,35.4,19.17,70.06,10.77,46.59,53.41,20.87,49.43,0.09,6.14,0,3.7,19.54,45903.0,64716.0,20.53,35.16,7.1,1.39,69.4,1.04,7.86,0.24,10.59,15362.0,2.47,31.45,68.55,16910.0,90.85,9.15,19.11,80.89,940300.0,9.78,90.22,14.45,20.77,17.32,24.96,22.5,26.23,13.49,16.67,23.97,0.53,43.75,1.59,9349.0,129.0,3.313044148239464,240.10581195264143
