Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
28447,1941,41.9,17.62,67.75,14.63,45.49,54.51,37.25,24.73,0.0,0.0,0.0,0.46,37.56,33047.0,41466.0,23.18,21.92,72.39,27.61,0.0,0.0,0.0,0.0,0.0,544.0,3.33,33.4,66.6,711.0,76.51,23.49,80.33,19.67,151300.0,2.88,97.12,26.14,26.14,30.98,7.27,9.47,25.14,2.05,0.0,0.0,0.0,97.95,0.0,0.0,0.0,141.0,72.64296754250387
28432,1371,50.2,20.28,54.34,25.38,46.02,53.98,85.63,14.37,0.0,0.0,0.0,0.0,0.0,22625.0,57750.0,11.82,24.31,98.16,0.0,0.0,0.0,1.84,0.0,0.0,524.0,2.62,51.01,48.99,727.0,72.08,27.92,89.12,10.88,81600.0,11.74,88.26,28.08,31.41,32.88,4.7,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.1881838074398248,198.0,144.42013129102847
28398,8856,34.7,30.52,54.52,14.96,47.52,52.48,25.3,34.78,0.0,0.03,0.44,5.48,33.76,16323.0,32585.0,12.84,22.68,76.9,16.13,0.08,0.0,3.23,0.2,2.64,2922.0,3.0,44.44,55.56,3482.0,83.92,16.08,57.56,42.44,78200.0,14.18,85.82,25.62,33.14,31.39,5.82,4.03,21.74,0.0,0.16,0.21,0.0,99.64,0.0,23.0,2.5971093044263776,783.0,88.41463414634146
28386,5936,36.2,25.99,61.57,12.43,41.39,58.61,8.83,10.14,53.62,0.08,0.22,3.23,23.69,17652.0,31095.0,33.5,25.34,87.65,11.23,0.0,0.0,0.94,0.19,0.14,2089.0,2.83,45.16,54.84,2382.0,87.7,12.3,77.6,22.4,53700.0,5.48,94.52,29.31,36.81,25.86,5.45,2.57,10.73,0.47,0.47,0.0,0.0,98.74,0.31,8.0,1.3477088948787064,707.0,119.10377358490568
28375,187,49.3,12.3,70.59,17.11,35.83,64.17,78.07,13.9,5.35,0.0,0.0,0.0,2.67,17323.0,19550.0,7.49,19.9,93.81,6.19,0.0,0.0,0.0,0.0,0.0,94.0,1.99,29.52,70.48,103.0,91.26,8.74,82.98,17.02,0.0,2.14,97.86,6.12,52.38,31.29,3.4,6.8,1.6,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,17.0,90.9090909090909
28372,13371,28.5,23.82,63.61,12.57,49.72,50.28,9.91,13.11,71.77,0.89,0.0,2.26,2.06,15683.0,28318.0,29.8,22.32,85.85,6.9,0.0,0.49,2.45,1.72,2.59,4128.0,2.78,36.6,63.4,4559.0,90.55,9.45,65.36,34.64,89700.0,12.97,87.03,16.56,30.77,32.44,13.8,6.44,1.64,3.2,57.99,1.37,0.0,37.44,0.0,12.0,0.8974646623289209,1635.0,122.27956024231544
28360,15743,33.7,27.52,60.46,12.02,51.51,48.49,15.66,10.47,59.24,0.79,0.15,2.19,11.51,18055.0,40878.0,23.83,21.97,84.84,11.11,0.48,0.0,0.31,0.53,2.74,4984.0,3.14,43.88,56.12,5537.0,90.01,9.99,69.26,30.74,82400.0,5.87,94.13,24.45,32.58,27.99,11.15,3.83,5.17,0.98,12.16,0.0,0.0,86.86,0.0,18.0,1.143365305215016,1529.0,97.1225306485422
28347,2012,30.6,22.47,71.87,5.67,69.28,30.72,22.17,48.41,3.33,0.1,0.0,2.24,23.76,12491.0,31367.0,38.73,30.77,88.58,1.38,3.74,0.0,4.53,0.39,1.38,440.0,3.03,36.81,63.19,554.0,79.42,20.58,65.91,34.09,70700.0,17.46,82.54,43.67,20.51,32.28,1.96,1.58,13.82,0.0,2.52,0.0,0.0,97.48,0.0,0.0,0.0,189.0,93.93638170974155
28328,27016,39.6,25.11,56.71,18.19,48.83,51.17,44.38,27.59,2.72,0.86,0.0,1.57,22.83,22618.0,38494.0,24.73,25.11,84.17,9.99,0.5,0.06,1.55,0.05,3.29,9987.0,2.61,45.58,54.42,11493.0,86.9,13.1,65.12,34.88,108100.0,11.46,88.54,23.43,31.5,30.16,8.88,6.03,11.49,1.45,3.7,0.19,0.0,94.65,0.0,43.0,1.5916493929523243,2866.0,106.08528279538052
28174,9927,28.6,22.53,62.24,15.22,45.99,54.01,53.5,26.66,0.0,1.84,0.0,3.17,14.45,20724.0,53521.0,18.09,26.91,76.14,9.94,0.0,0.14,7.91,0.37,5.66,2880.0,3.05,45.13,54.87,3141.0,91.69,8.31,71.56,28.44,149900.0,21.38,78.62,17.78,30.28,35.26,11.1,5.58,8.48,9.26,19.24,6.77,0.0,64.73,0.0,4.0,0.4029414727510829,971.0,97.81404251032536
