Zipcode,Population,Median age,Under 18(%),18 to 64(%),65 and over(%),Male(%),Female(%),White(%),Black(%),Native(%),Asian(%),Islander(%),Two plus(%),Hispanic(%),Per capita income (USD),Median household income (USD),Below poverty line(%),Mean travel time to work (Minutes),Drove Alone (%),Carpooled (%),Public Transit (%),Bicycle (%),Walked (%),Other (%),Worked at home (%),Number of households,Persons per household,Married (%),Single (%),Number of housing units,Occupied housing (%),Vacant housing (%),Owner Occupied (%),Renter Occupied (%),Median housing value,Moved Since Prev Year(%),Same House Prev Year(%),No Degree(%),High School(%),Some College(%),Bachelor's(%),Post-grad(%),Foriegn Born Population(%),Europe(%),Asia(%),Africa(%),Oceania(%),Latin America(%),North America(%),Death Counts,Death Counts(Per 1000),Case Counts,Case Counts(Per 1000)
54730,5188,41.9,25.06,55.32,19.62,51.54,48.46,94.58,0,0.5,1.66,0,1.95,1.31,31916,68240,6.81,26.19,82.75,7.28,0,0,2.7,0.53,6.75,1977,2.59,54.86,45.14,2194,90.11,9.89,83.36,16.64,174300,6.54,93.46,8.85,34.67,30.46,16.67,9.34,2.7,12.86,65.71,2.86,0,18.57,0,7,1.34926754,1350,260.2158828
54731,723,55.1,17.57,61.13,21.3,54.77,45.23,98.62,0,0,0,0,1.38,0,28526,50156,7.14,24.17,74.52,12.6,0,0,2.74,0.82,9.32,345,2.1,59.51,40.49,441,78.23,21.77,86.09,13.91,114400,5.45,94.55,14.66,43.23,27.27,13.36,1.48,0,0,0,0,0,0,0,1,1.383125864,130,179.8063624
54732,3199,42.1,23.38,58.24,18.38,47.45,52.55,95.19,0.5,0.25,0.41,0,1.41,2.25,26924,47070,13.9,31.53,82.86,8.04,0,0.52,3.07,0.33,5.17,1335,2.35,50.88,49.12,1542,86.58,13.42,78.43,21.57,133700,14.77,85.23,10.48,45.92,32.26,7.75,3.58,0.81,15.38,34.62,7.69,0,0,42.31,9,2.813379181,765,239.1372304
54733,1216,47.8,20.97,51.81,27.22,49.67,50.33,95.64,0,0.82,0.08,0,0.82,2.47,27349,49038,7.76,26.5,74.6,10.41,0.71,0,3.88,0.16,7.94,464,2.55,67.9,32.1,505,91.88,8.12,81.47,18.53,156300,7.89,92.11,10.27,42.19,34.64,8.52,4.37,1.48,50,5.56,0,0,44.44,0,2,1.644736842,296,243.4210526
54734,720,47,23.06,57.08,19.86,51.11,48.89,94.03,0,0.56,0,0,2.22,2.92,32565,64500,5.45,39.27,84.8,8.8,0,0,2.93,0.28,3.47,300,2.4,62.41,37.59,334,89.82,10.18,89.67,10.33,163800,3.36,96.64,4.91,38.49,37.17,14.15,5.28,2.08,53.33,20,0,0,26.67,0,0,0,237,329.1666667
53058,3348,50.6,16.13,60.69,23.18,49.37,50.63,92.03,0.18,0,1.05,0,2.81,3.29,59216,89917,4.7,25.84,73.5,7.93,0.64,0,3.7,0.66,12.27,1423,2.29,58.14,41.86,1518,93.74,6.26,65.71,34.29,372400,15.34,84.66,1.67,20.12,23.95,35.62,18.64,2.54,62.35,21.18,0,0,3.53,12.94,5,1.493428913,840,250.8960573
53059,1975,48.3,16.41,66.58,17.01,54.38,45.62,95.14,0.3,0.2,0,0,2.63,1.27,34216,75149,10.28,30.76,79.57,8.45,0.19,0,2.97,0.46,8.54,735,2.69,59.33,40.67,800,91.88,8.12,85.58,14.42,244400,10.51,89.49,5.59,44.88,33.89,12.6,3.03,0.46,11.11,0,66.67,0,0,22.22,5,2.53164557,383,193.9240506
53061,4882,44.4,17.57,60.28,22.14,52.5,47.5,94.82,0.25,1.13,1.58,0,0.08,2.15,32401,66759,7.16,21.83,84.44,9.29,0,0,2.15,0.77,3.35,2176,2.2,61.49,38.51,2340,92.99,7.01,80.65,19.35,136300,10.46,89.54,6.6,37.64,31.81,21.03,2.92,0.2,70,0,30,0,0,0,15,3.072511266,1290,264.2359689
53063,1553,45.3,19.9,64.01,16.1,51.51,48.49,94.46,0.77,0,0.32,0,1.35,3.09,36463,69750,6.5,20.23,88.02,3.59,0.76,0,1.42,1.42,4.79,627,2.48,56.64,43.36,690,90.87,9.13,86.44,13.56,176300,3.75,96.25,6.35,34.72,44.33,9.61,4.99,4.64,47.22,2.78,0,0,50,0,1,0.643915003,339,218.2871861
53065,2333,48.3,18.82,59.97,21.22,51.65,48.35,93.57,2.01,0.17,1.93,0,1.03,1.29,38881,88250,7.41,22.27,88.54,5.73,0,0.15,1.47,0.15,3.97,945,2.47,64.81,35.19,977,96.72,3.28,84.87,15.13,197700,12.34,87.66,5.97,40.34,32.61,15.17,5.91,2.66,11.29,72.58,3.23,0,12.9,0,5,2.143163309,703,301.3287613
53066,35414,44.9,21.36,59.88,18.76,50.25,49.75,92.25,1.28,0.15,0.59,0.02,1.31,2.58,57009,101446,5.26,26.59,83.42,6.28,0.22,0.18,0.57,1.82,8.95,13604,2.59,58.56,41.44,14688,92.62,7.38,80.61,19.39,317700,10.4,89.6,3.65,21.81,29.38,31.63,13.54,2.95,35.25,12.36,4.6,3.54,35.25,9,111,3.134353645,10020,282.9389507
53069,762,54.2,21.13,50.92,27.95,50.52,49.48,84.91,9.06,0.79,0,0,0,5.25,44351,109577,4.07,23.9,83.02,7.43,0,0,0,0,9.55,347,2.2,73,27,506,68.58,31.42,97.12,2.88,451200,16.01,83.99,0,28.45,32.45,27.95,11.15,6.56,100,0,0,0,0,0,0,0,172,225.7217848
53019,1763,45.1,20.87,61.83,17.3,52.98,47.02,94.5,0.45,0,0.62,0.11,0.4,3.63,34259,75000,4.83,21.9,80.48,7.27,0,0,5.68,0.28,5.28,742,2.37,63.21,36.79,807,91.95,8.05,82.08,17.92,188100,10.11,89.89,7.17,38.35,33.23,12.91,8.35,1.64,0,0,0,0,89.66,10.34,2,1.134429949,575,326.1486103
53020,3845,50.2,18.31,58.91,22.78,50.01,49.99,98.41,0,0.03,0,0,0,1.56,37947,73892,3.99,22.59,80.9,5.02,0.1,0.14,1.64,2.32,9.89,1565,2.46,68.86,31.14,1899,82.41,17.59,84.79,15.21,260300,5.97,94.03,5.67,38.55,29.77,17.08,8.93,0.78,70,0,0,0,16.67,13.33,9,2.340702211,760,197.6592978
53021,4619,44.4,21.48,63.93,14.59,50.53,49.47,91.49,1.28,0,0.09,0,1.58,5.56,43448,88042,3.79,26.41,84.46,8.45,0,0,1.31,1.14,4.65,1829,2.52,63.63,36.37,1874,97.6,2.4,78.51,21.49,254400,10.31,89.69,6.32,41.21,29.85,15.48,7.15,2.21,33.33,3.92,0,0,56.86,5.88,8,1.731976618,1194,258.4975103
53022,19665,40,24.88,60.74,14.38,49.27,50.73,85.54,2.49,0.06,5.93,0,2.34,3.65,44564,88852,3.94,21.29,87.02,4.46,0.11,0.15,0.78,0.54,6.94,7630,2.56,58.6,41.4,7889,96.72,3.28,76.67,23.33,275400,7.38,92.62,4.87,21.45,30.04,29.15,14.49,6.24,14.74,69.3,0.49,0,13.11,2.36,62,3.15280956,5371,273.1248411
53023,2435,37.9,12.16,77.78,10.06,73.63,26.37,75.98,11.58,2.3,1.03,0.16,3.98,4.97,21700,67708,6.07,24.56,81.59,6.39,0.38,0,1.02,0,10.61,567,2.45,35.86,64.14,626,90.58,9.42,90.83,9.17,166100,11.33,88.67,7.79,43.78,33.74,11,3.68,0.86,19.05,80.95,0,0,0,0,4,1.642710472,1357,557.2895277
53024,17977,41,23.38,58.31,18.31,50.75,49.25,92.77,0.61,0.17,1.79,0,1.77,2.8,44087,79785,3.34,24.03,84.93,4.94,1.14,0.3,1.8,0.08,6.33,7727,2.33,59.12,40.88,7988,96.73,3.27,70.49,29.51,273800,10.2,89.8,2.04,18.42,31.96,31.88,15.7,4.05,38.46,25,2.2,0,27.75,6.59,42,2.336318629,4413,245.480336
53027,23361,41.8,23.5,60.14,16.35,50.32,49.68,90.72,0.99,0.45,0.63,0,1.53,5.36,34512,71949,7.87,25.22,83.33,6.94,0.06,0.5,2.32,0.33,5.41,9082,2.56,57.91,42.09,9572,94.88,5.12,74.52,25.48,234100,8.1,91.9,6.5,32.32,34.06,20.43,6.7,1.88,35.68,21.14,0,0,39.55,3.64,51,2.183125722,6202,265.4852104
53029,21484,45.1,23.71,58.93,17.36,48.87,51.13,93.64,0.48,0.2,1.27,0,1.28,3.13,53051,100496,4.05,24.55,83.36,3.75,0.31,0,1.67,0.54,10.36,8057,2.66,64.75,35.25,8530,94.45,5.55,80.35,19.65,369500,10.29,89.71,2.36,18.69,30.35,32.16,16.44,3.34,46.86,30.4,0.42,0.28,17.85,4.18,37,1.722211879,5836,271.6440142
