GEOID,GEOG,2000_POP,2010_POP,TOT_POP,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,TOT_WRKR16OV,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,INCPERCAP,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_5_9UN,HU_10_19UN,HU_GT_19UN,HU_MOBILE,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,CASHRENT_HH,RENT_LT500,RENT_500_999,RENT_1000_1499,RENT_1500_2499,RENT_GT2500,MED_RENT,COMPUTER,ONLY_SMARTPHONE,NO_COMPUTER,INTERNET,BROADBAND,NO_INTERNET,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,GEN_MERCH,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,TRANSIT_LOW_PCT,TRANSIT_MOD_PCT,TRANSIT_HIGH_PCT,WALKABLE_LOW_PCT,WALKABLE_MOD_PCT,WALKABLE_HIGH_PCT,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,HT_Cost_Typical,HT_Cost_Mod,H_Cost_Typical,H_Cost_Mod,T_Cost_Typical,T_Cost_Mod
17097,Lake County,644356,703462,701473,40703,152672,128316,137299,146144,57332,26661,12346,38.4,432361,152141,45923,53654,17394,683278,551803,380960,351926,19357,170843,355918,24486,331432,273445,29529,15805,9347,3306,10091775,12425,67000,109395,57302,457676,42861,95007,83348,29020,121501,85939,29993,39275,35950,30200,44543,66161,89427,45766,246122,179679,66443,17956,264078,177495,26724,6800,7880,9831,11309,19484,4555,6.3,45957,131490,63865,22766,1981,24772,60860,89360,70161,18925,37924,63944,40105,34888,265100,63946,4464,17555,22896,15796,3235,1197,231828,11494,14294,226066,220965,20056,307563,Manufacturing,Health Care,Retail Trade,Education,Professional,40973,33921,32777,26984,25782,314826,Manufacturing,Retail Trade,Health Care,Education,Administration,54538,35552,31782,28376,25078,Lake County,Cook County,DuPage County,McHenry County,Kane County,146420,105879,16811,7653,4569,Lake County,Cook County,McHenry County,DuPage County,Kane County,146420,84755,20513,11246,8438,271033,257955,288487,22231.10444,11935965091,9754620433,21755345014,4242412622,1064623662,37807383,146204986,0,27246393667,0.51925538,0.349337305,0.131407314,0.670187814,0.315994374,0.013817811,9.49406161,301189.1488,99301.19291,0.329697113,3040.429997,0.010094753,157.7863165,0.000523878,12472.98877,0.041412477,11622.31887,0.038588106,7695.35761,0.025549917,49373.00573,0.163926907,41390.44131,0.137423415,56635.17792,0.188038574,19500.44938,0.06474486,55252,79353,41834,69683,180068,19589,66054,19250,697,1447,17106,46480,4959,9569,31952,35493,10168,12922,12403,140397,93505,33725,13167,570075,131398,660770,190193,67033,470577,114481,19308,7726,6045,1092,5397,10410,22603,3131,472968,92716,43580,24866,10226,,,,,,,,,,,,,,,,,,,61,73,39,48,23,24
17089,Kane County,404119,515269,531376,34078,117579,97492,109507,102770,42350,20313,7287,37.3,303165,169364,28109,21320,9418,525970,410629,282187,268488,13589,128442,262617,14568,248049,209068,25192,6430,3871,3488,7223150,8123,47699,77698,46117,346073,53281,78727,73311,26071,73838,40845,22682,31846,30202,24073,35554,35280,79394,36270,179637,132690,46947,8330,187967,130612,20430,7464,6660,7041,4863,9705,1192,6.3,46128,74025,39756,28058,1981,15758,46272,65649,49666,10622,25719,64285,33973,8101,238300,45553,3069,13172,18485,9924,903,1148,168135,10476,11502,161944,157941,17693,231338,Manufacturing,Health Care,Retail Trade,Education,Administration,29170,25161,24609,20074,18358,198243,Manufacturing,Education,Health Care,Retail Trade,Administration,32093,21890,21286,19048,16478,Kane County,Cook County,DuPage County,Lake County,Will County,77533,65060,46233,8438,7721,Kane County,Cook County,DuPage County,McHenry County,Will County,77533,34221,22552,13262,10135,164339,155665,174075,22218.92568,7294449545,5596096893,11411517993,1998432669,1275580917,26774137,285792879,0,14998098595,0.4802146,0.322427076,0.197358324,0.622426094,0.315639058,0.061934848,9.865381545,335401.349,61474.02751,0.183284974,1407.574224,0.004196686,93.84678546,0.000279804,6507.02019,0.019400698,9497.392901,0.028316502,9910.594314,0.029548463,34313.57999,0.102306029,166362.8912,0.496011396,33440.32516,0.099702417,12394.09675,0.036953032,39305,56047,29003,55282,131759,15565,47878,15026,462,1031,13533,37141,4494,8058,24589,30006,9298,11101,9607,94543,61917,26030,6596,438430,92946,497298,156358,60332,340940,128443,5062,902,3741,1442,659,4985,9874,1250,273390,95924,22477,7142,5186,,,,,,,,,,,,,,,,,,,56,66,33,41,23,25
17093,Kendall County,54544,114736,126054,8691,30895,23012,30491,20212,7988,3542,1223,35.2,87604,23571,8815,4016,2048,125703,93677,68724,65645,3045,24953,64494,3650,60844,53466,4641,1594,415,728,2092030,755,9071,19139,11756,79230,5986,18127,18204,8255,17958,10700,2745,5264,7069,6227,10246,9170,96563,36382,40721,34036,6685,1308,42029,32193,6089,397,748,670,974,935,23,6.9,22017,13087,4753,2172,2001,2039,6760,16056,14067,3107,4411,21957,6764,834,235600,6576,325,1662,1593,2855,141,1414,39291,1703,1430,38283,37548,2438,63875,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,7551,7356,6657,6296,4707,25732,Retail Trade,Education,Accommodation and Food Service,Transportation,Manufacturing,4735,4600,2604,2372,2222,Cook County,DuPage County,Kane County,Kendall County,Will County,15961,14870,9674,8119,7233,Kendall County,Kane County,Will County,Cook County,DuPage County,8119,3498,3330,2448,2068,n/a,n/a,n/a,26136.67077,1673462984,1255799437,2875520586,317678059,89097871,6653050,143971971,0,3432921537,1,0,0,0.988826298,0.011173702,0,8.872624105,206339.8926,20897.27893,0.101276,181.9447912,0.000881772,29.82586227,0.000144547,1696.988406,0.008224238,1825.236223,0.008845775,2058.516564,0.009976338,10438.24106,0.050587605,156457.7462,0.758252533,6802.691476,0.032968378,5951.423123,0.028842814,7062,12044,7471,14144,32061,3762,8660,2060,3,36,2021,5860,651,1415,3794,7033,1726,1833,3474,25598,15639,8140,1819,114128,11926,117363,21439,6371,95924,15074,759,781,764,362,101,345,2599,654,48677,4086,693,479,609,,,,,,,,,,,,,,,,,,,59,70,36,44,24,26
17043,DuPage County,904161,916924,929060,54850,180581,175635,182593,196013,82511,39108,17769,39.3,621563,132597,43661,109752,21487,916050,742131,512716,491547,20833,229415,482644,33135,449509,368745,32345,35262,9148,4009,13376225,14175,104895,153560,70161,635683,44483,115986,114852,46417,189386,124559,36629,52039,50184,44438,69190,90311,92809,46272,342791,251502,91289,17516,360307,213688,43168,3428,11015,23823,23334,41013,838,6.2,38149,208330,93121,20707,1978,44304,86581,119627,88298,21497,26419,94544,85929,41630,308500,88189,3215,14939,38249,28506,3280,1316,321368,12546,21423,317923,310878,24868,447034,Health Care,Professional,Retail Trade,Manufacturing,Education,52677,46562,43073,41944,38584,590373,Health Care,Professional,Retail Trade,Manufacturing,Wholesale Trade,67923,61409,58780,57882,52917,DuPage County,Cook County,Kane County,Will County,Lake County,192885,175891,22552,19685,11246,Cook County,DuPage County,Will County,Kane County,Lake County,194933,192885,61803,46233,16811,509741,484910,554155,20877.91908,20167164528,16459948936,31496325128,6746739422,3165669131,48741659,2602990,0,41460078330,0.343723598,0.479333173,0.176943229,0.600896586,0.384734911,0.014368503,8.392836259,215303.8038,74282.90132,0.345014347,5260.155106,0.024431315,56.3753911,0.000261841,13113.86462,0.060908653,15712.08138,0.07297633,12105.53797,0.056225379,43600.54431,0.202507079,3350.066474,0.015559718,42056.45117,0.195335384,5765.826027,0.026779954,85840,112234,56207,88510,239160,20443,103631,22785,332,1158,21295,60648,5342,11152,44154,49720,13929,17577,18214,203168,136771,50009,16388,751453,177607,874210,240332,76859,633878,91818,29833,12086,9928,5824,2901,20421,64187,3334,711966,81366,26977,70908,12944,,,,,,,,,,,,,,,,,,,58,68,37,46,21,23
17031,Cook County,5376741,5194675,5198275,322193,946085,1191506,1032143,965178,421947,221513,97710,36.8,2198122,1314796,1199175,375635,110547,5106417,4180927,2761811,2567330,193007,1419116,2517713,123570,2394143,1539061,200588,480559,136631,37304,80065855,351428,798186,588020,234474,3587576,461880,829451,666607,237123,825673,566842,401095,386225,310795,240315,301087,332591,64660,37552,1972108,1122584,849524,221230,2193338,882569,116609,212673,234507,220133,102538,408192,16117,5.1,211067,564664,779006,638601,1959,440682,691386,696719,274154,90397,252285,445597,262380,146940,246600,824837,67065,259583,282009,180121,36059,1123,1761565,138414,210543,1683254,1605588,288854,2203018,Health Care,Retail Trade,Professional,Education,Accommodation and Food Service,299724,207947,200619,199324,190308,2431587,Health Care,Professional,Retail Trade,Accommodation and Food Service,Education,331370,240027,225197,206623,204697,Cook County,DuPage County,Lake County,Will County,Kane County,1708891,194933,84755,67009,34221,Cook County,DuPage County,Will County,Lake County,Kane County,1708891,175891,108850,105879,65060,2216958,2004132,2265323,14123.23441,66205004950,48894117610,1.07572E+11,49492374696,9419967971,427635930,5378006,0,1.66918E+11,0.084669178,0.122172402,0.79315842,0.150311395,0.211407782,0.638280823,3.565778781,612997.4257,181121.4274,0.295468496,30646.61892,0.049994694,2463.091572,0.004018111,32562.60334,0.053120294,35327.50225,0.057630751,35907.80543,0.058577416,157571.7867,0.257051302,14826.00677,0.024186083,98954.7583,0.16142769,23615.82513,0.038525162,647474,594519,293712,436403,1183272,170209,788836,264285,6975,20563,236747,471656,53722,102144,315790,307471,99427,109726,98318,868662,588130,212550,67982,4099447,1098828,4876082,1720467,670652,3155615,1012973,205657,65688,46113,48654,25746,63619,207081,44936,2558709,1071740,1390448,257843,98001,,,,,,,,,,,,,,,,,,,48,56,30,38,18,19
17111,McHenry County,260077,308760,307714,16918,64012,52811,62143,68706,26745,11319,5060,40.2,249502,40266,4231,8554,5161,305904,243951,171708,164564,7121,72243,161612,10087,151525,134473,10403,3992,1517,1140,5029885,4394,26642,50232,31185,208188,14270,55175,47497,19538,48226,23482,11506,17724,19213,17053,24080,22877,86799,39006,112453,89278,23175,6011,118464,91254,11820,2307,2903,4446,2160,2656,918,6.6,28619,57672,21935,10238,1987,6567,26055,47066,32138,6638,17313,50059,18516,3182,224500,22181,1161,5801,9141,5462,616,1197,106990,3998,5463,105363,103398,7090,150515,Manufacturing,Retail Trade,Health Care,Education,Wholesale Trade,20139,16595,15339,14230,10853,88146,Manufacturing,Retail Trade,Education,Health Care,Accommodation and Food Service,14492,11581,9989,9699,7141,McHenry County,Cook County,Lake County,Kane County,DuPage County,47292,43298,20513,13262,11287,McHenry County,Cook County,Lake County,Kane County,DuPage County,47292,8376,7653,7090,2207,76159,74895,79305,23592.52336,4182112312,3231248413,7197907996,959794829,329337452,17828762,298427767,11101389,8814398195,0.834881351,0.149368112,0.015750537,0.842979752,0.153003909,0.004016339,11.39332268,391047.6548,68598.42665,0.175422166,663.4537609,0.001696606,122.7432613,0.000313883,4725.75509,0.012084857,4824.08407,0.012336307,8429.205525,0.021555443,28396.87797,0.072617436,219262.1275,0.560704366,37894.05989,0.096903944,18130.92113,0.046364991,23559,38733,19739,30422,83380,8471,29073,7478,137,407,6934,20533,2490,4557,13486,18963,5304,6905,6754,63748,42585,16496,4667,279096,28618,290796,41193,14488,249603,25774,4978,506,1637,469,408,1863,5041,517,233026,19602,1379,3734,2336,,,,,,,,,,,,,,,,,,,58,69,34,43,24,26
17197,Will County,502266,677560,689315,40632,152328,125380,147318,136743,53074,24377,9463,37.9,438965,119765,76586,37434,16565,680059,536772,368652,351095,17294,168120,345127,16687,328440,287635,20759,13360,3136,3550,10844035,8483,57750,100163,63102,451665,40481,121538,96777,37993,100578,54298,25208,35461,37173,33370,49071,49215,86961,36524,229498,186528,42970,14409,243907,182200,29263,4908,5232,4699,5898,8346,3361,6.5,71367,112348,42423,17769,1991,13880,47835,98733,69437,14022,37110,92567,45044,11285,232000,40569,2064,12607,13739,10570,1589,1176,215300,10872,14198,209127,204546,20371,322820,Health Care,Retail Trade,Education,Manufacturing,Professional,40214,34596,30386,30014,23591,248496,Education,Retail Trade,Transportation,Manufacturing,Health Care,34769,28489,25845,24661,24435,Cook County,Will County,DuPage County,Kane County,Lake County,108850,102987,61803,10135,5870,Will County,Cook County,DuPage County,Kane County,Kendall County,102987,67009,19685,7721,7233,120130,155494,213001,24987.97214,10573047453,8586391452,16311401782,2200936537,3224251464,78581739,317427817,2650,22132601989,0.683381014,0.263854623,0.052764363,0.839292306,0.134825482,0.025882212,9.226804711,543442.1679,85895.97465,0.15805909,1353.566992,0.002490729,123.4484998,0.00022716,10011.30465,0.018422024,13425.18832,0.024703987,20566.71595,0.037845271,67910.20341,0.124963073,255082.0737,0.469382188,61546.53116,0.113253139,27527.16064,0.05065334,48755,69980,39263,71500,171227,17466,58271,16014,261,976,14777,41684,5668,9018,26998,36753,11315,13182,12256,131125,84288,35818,11019,604385,84930,648683,133152,51140,515531,80948,10033,2798,5334,4008,1310,7518,18350,2853,388523,43768,51980,11021,6974,,,,,,,,,,,,,,,,,,,57,68,34,43,23,25
,Region,8146264,8431386,8483267,518065,1644152,1794152,1701494,1635766,691947,346833,150858,37.5,4331282,1952500,1406500,610365,182620,8343381,6759890,4546758,4260595,274246,2213132,4190125,226183,3963942,2865893,323457,557002,164065,53525,128722955,399783,1111243,1098207,514097,5766091,663242,1314011,1100596,404417,1377160,906665,529858,567834,490586,395676,533771,605605,73572,39057.71655,3123330,1996297,1127033,286760,3410090,1710011,254103,237977,268945,270643,151076,490331,27004,6.0,463304,1161616,1044859,740311,1968,548002,965749,1133210,597921,165208,401181,832953,492711,246860,249366.9862,1091851,81363,325319,386112,253234,45823,1150,2844477,189503,278853,2741960,2640864,381370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3358360,3133051,3574346,17165.48025,1.22031E+11,93778223174,1.9862E+11,65958368834,18568528468,644022660,1199806416,11104039,2.85002E+11,0.255384595,0.206084648,0.538530757,0.357652748,0.237757898,0.404589354,5.784009593,2605721.443,591571.2293,0.227027809,42553.74379,0.016330888,3047.117688,0.001169395,81090.52505,0.031120182,92233.80401,0.035396648,96673.73337,0.037100563,391604.2391,0.150286302,856731.353,0.328788542,337329.9951,0.129457428,112885.7022,0.043322245,907247,962910,487229,765944,2020927,255505,1102403,346898,8867,25618,312413,684002,77326,145913,460763,485439,151167,173246,161026,1527241,1022835,382768,121638,6857014,1626253,7965202,2503134,946875,5462068,1469511,275630,90487,73562,61851,36522,109161,329735,56675,4687259,1409202,1537534,375993,136276,,,,,,,,,,,,,,,,,,,,,,,,
