Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
08/15/2020,221,5,21,18,65,41,30,34,20,11,2,0,106,113,2,80,6,56,62,7,10,0,0,0,1,0,0,2,2,0,3,2,0,0,0,3,2,0,0,1,4,2,0,5,3,5,1,0,10,11,0,7,0,10,3,1,0
06/16/2020,210,11,24,18,58,37,32,32,21,3,9,0,117,92,1,81,5,58,28,6,32,0,1,0,2,3,1,2,2,0,5,6,0,9,0,1,1,0,0,1,4,2,3,3,5,2,4,0,16,8,0,7,1,12,3,0,1
05/29/2021,89,7,23,17,16,17,15,15,7,1,1,0,42,47,0,27,1,38,10,4,9,0,0,0,1,2,1,1,2,0,3,4,0,0,0,5,1,1,0,1,2,2,1,5,6,3,3,0,15,8,0,4,0,13,5,0,1
10/11/2020,301,4,30,22,94,59,43,37,30,9,7,0,126,174,1,95,7,57,115,11,16,0,0,0,0,1,1,0,2,0,0,4,0,2,0,1,1,0,0,0,2,3,7,4,6,4,4,0,13,17,0,9,1,7,10,1,2
09/02/2021,496,6,40,85,139,120,65,44,23,13,7,0,246,250,0,101,20,120,138,29,88,0,0,0,2,1,0,2,1,0,5,1,0,1,0,4,1,0,0,0,3,5,5,8,9,3,7,0,19,21,0,8,1,16,10,3,2
12/11/2020,1669,28,110,235,380,310,266,225,136,79,38,0,863,805,1,647,66,324,366,63,203,0,0,0,0,2,7,9,10,0,11,17,0,9,1,10,6,2,0,2,5,9,9,21,19,32,13,0,53,57,0,36,2,38,28,5,1
11/09/2020,3229,14,145,386,832,617,529,430,252,118,65,0,1630,1585,14,1341,77,515,834,118,344,0,0,0,0,1,3,7,3,0,5,9,0,6,0,0,8,0,0,1,6,15,13,26,30,34,20,0,72,73,0,44,7,57,30,2,5
12/12/2020,915,21,79,110,215,178,135,124,90,45,18,0,467,445,3,334,32,156,262,29,102,0,0,0,0,2,5,5,9,0,10,11,0,3,2,9,7,0,0,1,2,5,7,18,18,17,11,0,37,42,0,16,5,39,15,3,1
12/06/2021,1215,6,79,326,234,233,176,115,77,25,17,12,654,552,9,200,41,322,317,125,210,0,0,0,2,1,1,1,1,0,2,4,0,2,0,3,1,0,0,3,4,7,13,11,17,11,13,0,37,42,0,14,3,39,21,0,2
09/22/2020,351,2,27,43,108,70,52,36,20,12,10,0,175,173,3,163,9,48,96,4,31,0,0,0,0,1,0,0,1,0,2,0,0,1,0,1,0,0,0,0,4,2,2,5,8,4,2,0,12,15,0,14,0,7,6,0,0
